observation_date,FEDFUNDS,CPI,"G20 CLI(Amplitude adjusted, Long-term average = 100)",T10Y2Y,GPDIC1_PCA
2020-01-01,1.55,2.59977,98.78015,0.18,-9.62101
2020-02-01,1.58,2.34132,96.46351,0.27,-9.62101
2020-03-01,0.65,1.49404,93.30589,0.47,-9.62101
2020-04-01,0.05,0.31305,89.12939,0.44,-45.16672
2020-05-01,0.05,0.1982,93.4154,0.49,-45.16672
2020-06-01,0.08,0.71666,96.71854,0.5,-45.16672
2020-07-01,0.09,0.99686,98.17705,0.44,98.61285
2020-08-01,0.1,1.28107,98.96931,0.58,98.61285
2020-09-01,0.09,1.39102,99.68683,0.56,98.61285
2020-10-01,0.09,1.23039,100.0807,0.74,13.80576
2020-11-01,0.09,1.17575,100.3805,0.68,13.80576
2020-12-01,0.09,1.32042,100.6939,0.8,13.80576
2021-01-01,0.09,1.35532,100.8933,1,-3.01763
2021-02-01,0.08,1.6675,101.082,1.3,-3.01763
2021-03-01,0.07,2.62365,101.2913,1.58,-3.01763
2021-04-01,0.07,4.13737,101.4418,1.49,-5.12532
2021-05-01,0.06,4.92647,101.5005,1.44,-5.12532
2021-06-01,0.08,5.31742,101.5119,1.2,-5.12532
2021-07-01,0.1,5.26917,101.3794,1.05,15.37284
2021-08-01,0.09,5.18132,101.2629,1.1,15.37284
2021-09-01,0.08,5.36352,101.1815,1.24,15.37284
2021-10-01,0.08,6.22659,101.0967,1.07,28.4686
2021-11-01,0.08,6.86556,100.9655,0.91,28.4686
2021-12-01,0.08,7.15946,100.8146,0.79,28.4686
2022-01-01,0.08,7.57808,100.6275,0.61,7.91686
2022-02-01,0.08,7.94922,100.4003,0.39,7.91686
2022-03-01,0.2,8.54078,100.1437,0.04,7.91686
2022-04-01,0.33,8.23516,99.88104,0.19,-8.63635
2022-05-01,0.77,8.53005,99.62035,0.32,-8.63635
2022-06-01,1.21,8.9993,99.37936,0.06,-8.63635
2022-07-01,1.68,8.44778,99.17947,-0.22,-6.69123
2022-08-01,2.33,8.21626,99.03656,-0.3,-6.69123
2022-09-01,2.56,8.20575,98.94985,-0.39,-6.69123
2022-10-01,3.08,7.75726,98.9233,-0.41,7.99343
2022-11-01,3.78,7.13138,98.95537,-0.7,7.99343
2022-12-01,4.1,6.41083,99.04976,-0.53,7.99343
2023-01-01,4.33,6.3403,99.17219,-0.69,-7.1082
2023-02-01,4.57,5.95765,99.31221,-0.89,-7.1082
2023-03-01,4.65,4.93135,99.45306,-0.58,-7.1082
2023-04-01,4.83,4.94695,99.58429,-0.6,7.21775
2023-05-01,5.06,4.12531,99.71142,-0.76,7.21775
2023-06-01,5.08,3.05925,99.81824,-1.06,7.21775
2023-07-01,5.12,3.28033,99.90848,-0.91,9.38077
2023-08-01,5.33,3.71864,99.96799,-0.76,9.38077
2023-09-01,5.33,3.69508,99.99264,-0.44,9.38077
2023-10-01,5.33,3.24654,99.99456,-0.19,3.5684
2023-11-01,5.33,3.13986,99.98859,-0.36,3.5684
2023-12-01,5.33,3.3222,99.98123,-0.35,3.5684
2024-01-01,5.33,3.10794,99.96938,-0.28,-1.55976
2024-02-01,5.33,3.16642,99.95071,-0.39,-1.55976
2024-03-01,5.33,3.469,99.92176,-0.39,-1.55976
2024-04-01,5.33,3.35405,99.88278,-0.35,8.22415
2024-05-01,5.33,3.23887,99.84261,-0.38,8.22415
2024-06-01,5.33,2.97009,99.81194,-0.35,8.22415
2024-07-01,5.33,2.93846,99.80627,-0.2,0.9337
2024-08-01,5.33,2.61091,99.83254,0,0.9337
2024-09-01,5.13,2.43254,99.89188,0.15,0.9337
2024-10-01,4.83,2.5714,99.97244,0.12,-6.7967
2024-11-01,4.64,2.71417,100.0548,0.05,-6.7967
2024-12-01,4.48,2.87237,100.1197,0.33,-6.7967
